date,datatype,station,attributes,value
"2018-08-26T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-08-27T00:00:00","TAVG","GHCND:ASN00066037","HS","117"
"2018-08-28T00:00:00","TAVG","GHCND:ASN00066037","HS","99"
"2018-08-29T00:00:00","TAVG","GHCND:ASN00066037","HS","108"
"2018-08-30T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-08-31T00:00:00","TAVG","GHCND:ASN00066037","HS","141"
"2018-09-01T00:00:00","TAVG","GHCND:ASN00066037","HS","160"
"2018-09-02T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-09-03T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-09-04T00:00:00","TAVG","GHCND:ASN00066037","HS","139"
"2018-09-05T00:00:00","TAVG","GHCND:ASN00066037","HS","139"
"2018-09-06T00:00:00","TAVG","GHCND:ASN00066037","HS","176"
"2018-09-07T00:00:00","TAVG","GHCND:ASN00066037","HS","164"
"2018-09-08T00:00:00","TAVG","GHCND:ASN00066037","HS","128"
"2018-09-09T00:00:00","TAVG","GHCND:ASN00066037","HS","174"
"2018-09-10T00:00:00","TAVG","GHCND:ASN00066037","HS","158"
"2018-09-11T00:00:00","TAVG","GHCND:ASN00066037","HS","179"
"2018-09-12T00:00:00","TAVG","GHCND:ASN00066037","HS","196"
"2018-09-13T00:00:00","TAVG","GHCND:ASN00066037","HS","161"
"2018-09-14T00:00:00","TAVG","GHCND:ASN00066037","HS","192"
"2018-09-15T00:00:00","TAVG","GHCND:ASN00066037","HS","213"
"2018-09-16T00:00:00","TAVG","GHCND:ASN00066037","HS","124"
"2018-09-17T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-09-18T00:00:00","TAVG","GHCND:ASN00066037","HS","191"
"2018-09-19T00:00:00","TAVG","GHCND:ASN00066037","HS","187"
"2018-09-20T00:00:00","TAVG","GHCND:ASN00066037","HS","127"
"2018-09-21T00:00:00","TAVG","GHCND:ASN00066037","HS","158"
"2018-09-22T00:00:00","TAVG","GHCND:ASN00066037","HS","177"
"2018-09-23T00:00:00","TAVG","GHCND:ASN00066037","HS","154"
"2018-09-24T00:00:00","TAVG","GHCND:ASN00066037","HS","129"
"2018-09-25T00:00:00","TAVG","GHCND:ASN00066037","HS","150"
"2018-09-26T00:00:00","TAVG","GHCND:ASN00066037","HS","125"
"2018-09-27T00:00:00","TAVG","GHCND:ASN00066037","HS","167"
"2018-09-28T00:00:00","TAVG","GHCND:ASN00066037","HS","205"
"2018-09-29T00:00:00","TAVG","GHCND:ASN00066037","HS","147"
"2018-09-30T00:00:00","TAVG","GHCND:ASN00066037","HS","148"
"2018-10-01T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2018-10-02T00:00:00","TAVG","GHCND:ASN00066037","HS","189"
"2018-10-03T00:00:00","TAVG","GHCND:ASN00066037","HS","197"
"2018-10-04T00:00:00","TAVG","GHCND:ASN00066037","HS","153"
"2018-10-05T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-10-06T00:00:00","TAVG","GHCND:ASN00066037","HS","151"
"2018-10-07T00:00:00","TAVG","GHCND:ASN00066037","HS","158"
"2018-10-08T00:00:00","TAVG","GHCND:ASN00066037","HS","168"
"2018-10-09T00:00:00","TAVG","GHCND:ASN00066037","HS","195"
"2018-10-10T00:00:00","TAVG","GHCND:ASN00066037","HS","149"
"2018-10-11T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-10-12T00:00:00","TAVG","GHCND:ASN00066037","HS","149"
"2018-10-13T00:00:00","TAVG","GHCND:ASN00066037","HS","177"
"2018-10-14T00:00:00","TAVG","GHCND:ASN00066037","HS","181"
"2018-10-15T00:00:00","TAVG","GHCND:ASN00066037","HS","195"
"2018-10-16T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2018-10-17T00:00:00","TAVG","GHCND:ASN00066037","HS","204"
"2018-10-18T00:00:00","TAVG","GHCND:ASN00066037","HS","202"
"2018-10-19T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-10-20T00:00:00","TAVG","GHCND:ASN00066037","HS","202"
"2018-10-21T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2018-10-22T00:00:00","TAVG","GHCND:ASN00066037","HS","202"
"2018-10-23T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2018-10-24T00:00:00","TAVG","GHCND:ASN00066037","HS","171"
"2018-10-25T00:00:00","TAVG","GHCND:ASN00066037","HS","191"
"2018-10-26T00:00:00","TAVG","GHCND:ASN00066037","HS","183"
"2018-10-27T00:00:00","TAVG","GHCND:ASN00066037","HS","202"
"2018-10-28T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2018-10-29T00:00:00","TAVG","GHCND:ASN00066037","HS","183"
"2018-10-30T00:00:00","TAVG","GHCND:ASN00066037","HS","214"
"2018-10-31T00:00:00","TAVG","GHCND:ASN00066037","HS","210"
"2018-11-01T00:00:00","TAVG","GHCND:ASN00066037","HS","254"
"2018-11-02T00:00:00","TAVG","GHCND:ASN00066037","HS","296"
"2018-11-03T00:00:00","TAVG","GHCND:ASN00066037","HS","228"
"2018-11-04T00:00:00","TAVG","GHCND:ASN00066037","HS","222"
"2018-11-05T00:00:00","TAVG","GHCND:ASN00066037","HS","248"
"2018-11-06T00:00:00","TAVG","GHCND:ASN00066037","HS","257"
"2018-11-07T00:00:00","TAVG","GHCND:ASN00066037","HS","164"
"2018-11-08T00:00:00","TAVG","GHCND:ASN00066037","HS","165"
"2018-11-09T00:00:00","TAVG","GHCND:ASN00066037","HS","193"
"2018-11-10T00:00:00","TAVG","GHCND:ASN00066037","HS","183"
"2018-11-11T00:00:00","TAVG","GHCND:ASN00066037","HS","196"
"2018-11-12T00:00:00","TAVG","GHCND:ASN00066037","HS","213"
"2018-11-13T00:00:00","TAVG","GHCND:ASN00066037","HS","221"
"2018-11-14T00:00:00","TAVG","GHCND:ASN00066037","HS","212"
"2018-11-15T00:00:00","TAVG","GHCND:ASN00066037","HS","179"
"2018-11-16T00:00:00","TAVG","GHCND:ASN00066037","HS","179"
"2018-11-17T00:00:00","TAVG","GHCND:ASN00066037","HS","191"
"2018-11-18T00:00:00","TAVG","GHCND:ASN00066037","HS","189"
"2018-11-19T00:00:00","TAVG","GHCND:ASN00066037","HS","204"
"2018-11-20T00:00:00","TAVG","GHCND:ASN00066037","HS","237"
"2018-11-21T00:00:00","TAVG","GHCND:ASN00066037","HS","248"
"2018-11-22T00:00:00","TAVG","GHCND:ASN00066037","HS","198"
"2018-11-23T00:00:00","TAVG","GHCND:ASN00066037","HS","198"
"2018-11-24T00:00:00","TAVG","GHCND:ASN00066037","HS","185"
"2018-11-25T00:00:00","TAVG","GHCND:ASN00066037","HS","193"
"2018-11-26T00:00:00","TAVG","GHCND:ASN00066037","HS","194"
"2018-11-27T00:00:00","TAVG","GHCND:ASN00066037","HS","209"
"2018-11-28T00:00:00","TAVG","GHCND:ASN00066037","HS","178"
"2018-11-29T00:00:00","TAVG","GHCND:ASN00066037","HS","185"
"2018-11-30T00:00:00","TAVG","GHCND:ASN00066037","HS","207"
"2018-12-01T00:00:00","TAVG","GHCND:ASN00066037","HS","225"
"2018-12-02T00:00:00","TAVG","GHCND:ASN00066037","HS","239"
"2018-12-03T00:00:00","TAVG","GHCND:ASN00066037","HS","253"
"2018-12-04T00:00:00","TAVG","GHCND:ASN00066037","HS","194"
"2018-12-05T00:00:00","TAVG","GHCND:ASN00066037","HS","199"
